class last.change n5.d3 n5.d4 n10.d3 n10.d4 dist.d3 last.d3 last.d4 dist.d4  r3.sdl r3.sap r4.sdl r4.sap
 4 0 0 35 0 59 -1 -1 0 0 0 0 20 22
 4 0 15 38 18 91 1 0 0 0 16 15 28 21
 1 0 2 0 55 0 4.472 0 -1 -1 0 0 0 0
 2 0 0 0 11 4 8.062 0 5.831 0 0 0 0 0
 4 0 19 29 85 92 1 0 0 0 16 23 23 25
 2 0 0 0 1 20 9.849 0 6.325 0 0 0 0 0
 2 0 0 0 0 4 -1 -1 9.22 0 5 0 0 0
 4 0 0 58 17 195 6.083 0 0 0 0 0 23 24
 2 0 3 0 4 3 3.606 0 7 0 0 0 6 1
 2 23 11 3 62 3 2.828 0 2 0 0 0 0 0
 2 0 0 0 3 1 7 0 10 0 0 0 0 0
 4 0 0 37 0 118 -1 -1 0 0 0 0 17 21
 2 22 0 11 16 87 7.616 0 3 0 5 6 16 3
 3 0 73 0 212 5 0 0 5.831 0 31 25 0 0
 4 0 0 52 10 138 7.071 0 0 0 0 0 28 22
 2 0 9 0 39 2 2.828 0 9.434 0 16 10 0 0
 4 0 12 67 21 268 2 0 0 0 7 5 36 26
 4 0 0 80 33 277 5.099 0 0 0 5 6 28 25
 2 0 9 9 61 47 3.606 0 3 0 10 16 0 0
 2 23 2 20 15 96 4.123 0 1 0 0 0 0 0
 2 0 0 0 0 9 -1 -1 8.602 0 0 0 0 0
 2 0 0 12 27 28 6.083 0 3.606 0 5 0 5 2
 2 0 0 3 0 30 -1 -1 4 0 5 6 0 0
 3 0 22 0 57 0 0 0 -1 -1 19 22 0 0
 2 23 1 0 34 0 5 0 -1 -1 11 12 0 0
 4 0 11 29 17 110 1 0 0 0 15 20 28 26
 4 0 1 72 31 260 5 0 0 0 12 7 34 29
 2 24 36 36 98 60 1 0 1 0 28 22 23 1
 2 0 0 0 22 16 5.385 0 8.062 0 5 9 0 0
 3 0 73 7 200 22 0 0 3.606 0 32 27 5 4
 2 15 0 0 5 0 9 0 -1 -1 0 0 0 0
 4 0 0 75 8 234 8.544 0 0 0 0 0 31 26
 2 0 4 2 20 2 3 0 4 0 2 0 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 3 0 30 15 79 78 0 0 2.236 0 16 22 15 15
 2 0 0 4 3 14 7.071 0 1 0 0 0 11 13
 3 0 54 27 141 141 0 0 2 0 26 25 21 20
 3 0 81 0 308 4 0 0 9 0 26 27 0 0
 1 0 0 0 2 6 9.055 0 6.083 0 0 0 0 0
 2 23 0 0 13 0 6.083 0 -1 -1 5 1 0 0
 3 0 32 1 49 31 0 0 5 0 22 23 5 6
 2 0 0 0 15 0 8 0 -1 -1 0 0 5 9
 4 0 25 21 106 30 1 0 0 0 17 20 29 20
